"ListID","ItemID","BlockID","BTrial","Audio","Type"
4,151,1,5,"wavs/kate/6umB.wav","test"
4,7,2,1,"wavs/kate/7.wav","filler"
4,8,2,2,"wavs/kate/8.wav","filler"
4,9,2,3,"wavs/kate/9.wav","filler"
4,10,2,4,"wavs/kate/10.wav","filler"
4,153,2,5,"wavs/kate/12umB.wav","test"
4,13,3,1,"wavs/kate/13.wav","filler"
4,14,3,2,"wavs/kate/14.wav","filler"
4,15,3,3,"wavs/kate/15.wav","filler"
4,16,3,4,"wavs/kate/16.wav","filler"
4,155,3,5,"wavs/kate/18umB.wav","test"
4,19,4,1,"wavs/mark/19.wav","filler"
4,20,4,2,"wavs/mark/20.wav","filler"
4,21,4,3,"wavs/mark/21.wav","filler"
4,22,4,4,"wavs/mark/22.wav","filler"
4,157,4,5,"wavs/kate/24umB.wav","test"
4,25,5,1,"wavs/mark/25.wav","filler"
4,26,5,2,"wavs/mark/26.wav","filler"
4,27,5,3,"wavs/mark/27.wav","filler"
4,28,5,4,"wavs/mark/28.wav","filler"
4,159,5,5,"wavs/kate/30umB.wav","test"
4,31,6,1,"wavs/kate/31.wav","filler"
4,32,6,2,"wavs/kate/32.wav","filler"
4,33,6,3,"wavs/kate/33.wav","filler"
4,34,6,4,"wavs/kate/34.wav","filler"
4,161,6,5,"wavs/kate/36umE.wav","test"
4,37,7,1,"wavs/kate/37.wav","filler"
4,38,7,2,"wavs/kate/38.wav","filler"
4,39,7,3,"wavs/kate/39.wav","filler"
4,40,7,4,"wavs/kate/40.wav","filler"
4,163,7,5,"wavs/kate/42umE.wav","test"
4,43,8,1,"wavs/kate/43.wav","filler"
4,44,8,2,"wavs/kate/44.wav","filler"
4,45,8,3,"wavs/kate/45.wav","filler"
4,46,8,4,"wavs/kate/46.wav","filler"
4,165,8,5,"wavs/kate/48umE.wav","test"
4,49,9,1,"wavs/mark/49.wav","filler"
4,50,9,2,"wavs/mark/50.wav","filler"
4,51,9,3,"wavs/mark/51.wav","filler"
4,52,9,4,"wavs/mark/52.wav","filler"
4,167,9,5,"wavs/kate/54umE.wav","test"
4,55,10,1,"wavs/mark/55.wav","filler"
4,56,10,2,"wavs/mark/56.wav","filler"
4,57,10,3,"wavs/mark/57.wav","filler"
4,58,10,4,"wavs/mark/58.wav","filler"
4,169,10,5,"wavs/kate/60umE.wav","test"
4,61,11,1,"wavs/mark/61.wav","filler"
4,62,11,2,"wavs/mark/62.wav","filler"
4,63,11,3,"wavs/mark/63.wav","filler"
4,64,11,4,"wavs/mark/64.wav","filler"
4,212,11,6,"wavs/kate/66umB.wav","test"
4,67,12,1,"wavs/mark/67.wav","filler"
4,68,12,2,"wavs/mark/68.wav","filler"
4,69,12,3,"wavs/mark/69.wav","filler"
4,70,12,4,"wavs/mark/70.wav","filler"
4,214,12,6,"wavs/kate/72umE.wav","test"
4,73,13,1,"wavs/kate/73.wav","filler"
4,74,13,2,"wavs/kate/74.wav","filler"
4,75,13,3,"wavs/kate/75.wav","filler"
4,76,13,4,"wavs/kate/76.wav","filler"
4,216,13,6,"wavs/kate/77uhE.wav","filler"
4,79,14,1,"wavs/kate/79.wav","filler"
4,80,14,2,"wavs/kate/80.wav","filler"
4,81,14,3,"wavs/kate/81.wav","filler"
4,82,14,4,"wavs/kate/82.wav","filler"
4,218,14,6,"wavs/kate/83uhE.wav","filler"
4,85,15,1,"wavs/kate/85.wav","filler"
4,86,15,2,"wavs/kate/86.wav","filler"
4,87,15,3,"wavs/kate/87.wav","filler"
4,88,15,4,"wavs/kate/88.wav","filler"
4,220,15,6,"wavs/kate/89uhE.wav","filler"
4,91,16,1,"wavs/kate/91.wav","filler"
4,92,16,2,"wavs/kate/92.wav","filler"
4,93,16,3,"wavs/kate/93.wav","filler"
4,94,16,4,"wavs/kate/94.wav","filler"
4,222,16,6,"wavs/kate/95uhE.wav","filler"
4,97,17,1,"wavs/kate/97.wav","filler"
4,98,17,2,"wavs/kate/98.wav","filler"
4,99,17,3,"wavs/kate/99.wav","filler"
4,100,17,4,"wavs/kate/100.wav","filler"
4,224,17,6,"wavs/kate/101.wav","filler"
4,103,18,1,"wavs/kate/103.wav","filler"
4,104,18,2,"wavs/kate/104.wav","filler"
4,105,18,3,"wavs/kate/105.wav","filler"
4,106,18,4,"wavs/kate/106.wav","filler"
4,226,18,6,"wavs/kate/107uhE.wav","filler"
4,121,21,1,"wavs/mark/121.wav","filler"
4,122,21,2,"wavs/mark/122.wav","filler"
4,123,21,3,"wavs/mark/123.wav","filler"
4,124,21,4,"wavs/mark/124.wav","filler"
4,125,21,5,"wavs/kate/122.wav","filler"
4,126,22,1,"wavs/mark/126.wav","filler"
4,127,22,2,"wavs/mark/127.wav","filler"
4,128,22,3,"wavs/mark/128.wav","filler"
4,129,22,4,"wavs/mark/129.wav","filler"
4,130,22,5,"wavs/kate/127.wav","filler"
4,131,23,1,"wavs/mark/131.wav","filler"
4,132,23,2,"wavs/mark/132.wav","filler"
4,133,23,3,"wavs/mark/133.wav","filler"
4,134,23,4,"wavs/mark/134.wav","filler"
4,135,23,5,"wavs/kate/132.wav","filler"
4,136,24,1,"wavs/mark/136.wav","filler"
4,137,24,2,"wavs/mark/137.wav","filler"
4,138,24,3,"wavs/mark/138.wav","filler"
4,139,24,4,"wavs/mark/139.wav","filler"
4,140,24,5,"wavs/kate/137.wav","filler"
4,141,25,1,"wavs/mark/141.wav","filler"
4,142,25,2,"wavs/mark/142.wav","filler"
4,143,25,3,"wavs/mark/143.wav","filler"
4,144,25,4,"wavs/mark/144.wav","filler"
4,145,25,5,"wavs/kate/142.wav","filler"
4,146,26,1,"wavs/mark/146.wav","filler"
4,147,26,2,"wavs/mark/147.wav","filler"
4,148,26,3,"wavs/mark/148.wav","filler"
4,149,26,4,"wavs/mark/149.wav","filler"
4,150,26,5,"wavs/kate/147.wav","filler"
